Momentum Period,Value Weight,Momentum Weight,Low Volatility Weight,Top N,Max Weight,Data Hash,Total Return,Annualized Volatility,Annualized Return,Sharpe Ratio
12M,0.3,0.6,0.1,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.2149,0.2067,0.8414,3.83
12M,0.1,0.4,0.5,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,3.1066000000000003,0.1444,0.6033,3.83
12M,0.2,0.5,0.3,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.6827,0.1295,0.546,3.83
12M,0.5,0.3,0.2,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.1121,0.1447,0.604,3.83
6M,0.7,0.2,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.6473,0.1282,0.541,3.83
12M,0.1,0.6,0.3,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.6210000000000004,0.1277,0.5373,3.82
12M,0.2,0.5,0.3,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.863,0.1363,0.5708,3.82
12M,0.1,0.6,0.3,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.5469,0.1247,0.5267000000000001,3.82
6M,0.3,0.4,0.3,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1062,0.1076,0.4604999999999999,3.82
12M,0.1,0.5,0.4,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.4097,0.1198,0.5067,3.81
12M,0.1,0.4,0.5,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.1819,0.1477,0.613,3.81
12M,0.1,0.6,0.3,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.708,0.131,0.5495,3.81
12M,0.2,0.5,0.3,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.7335000000000003,0.1329,0.5529999999999999,3.79
12M,0.2,0.7,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.2644,0.2105,0.8462999999999999,3.78
12M,0.3,0.4,0.3,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.3545,0.1186,0.4985,3.78
12M,0.2,0.6,0.2,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,3.6951,0.1657999999999999,0.6767,3.78
6M,0.1,0.5,0.4,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.3532,0.119,0.4982999999999999,3.77
12M,0.1,0.5,0.4,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.9912,0.1427999999999999,0.5881000000000001,3.77
6M,0.3,0.4,0.3,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.0798,0.1077999999999999,0.4563,3.77
12M,0.1,0.5,0.4,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.2015,0.1127,0.4753,3.77
12M,0.1,0.5,0.4,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.8369,0.1371,0.5672999999999999,3.77
6M,0.1,0.4,0.5,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.3532,0.119,0.4982999999999999,3.77
12M,0.2,0.5,0.3,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.0545,0.1452,0.5965,3.76
12M,0.1,0.5,0.4,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.8758,0.1392,0.5726,3.76
12M,0.2,0.4,0.4,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.0545,0.1452,0.5965,3.76
12M,0.1,0.5,0.4,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.4178,0.122,0.5079,3.75
6M,0.6,0.3,0.1,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8928,0.1002,0.4261,3.75
12M,0.2,0.7,0.1,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.1464,0.2097,0.8345999999999999,3.74
12M,0.5,0.3,0.2,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.8777,0.1402999999999999,0.5728,3.73
12M,0.2,0.4,0.4,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.3371,0.1193999999999999,0.4959,3.73
6M,0.1,0.4,0.5,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.3448,0.1202,0.497,3.72
12M,0.1,0.4,0.5,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.0523,0.108,0.4518999999999999,3.72
6M,0.1,0.5,0.4,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.3448,0.1202,0.497,3.72
12M,0.3,0.4,0.3,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.431,0.1235,0.5097999999999999,3.72
12M,0.3,0.4,0.3,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.3398,0.12,0.4963,3.72
12M,0.1,0.5,0.4,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.1566,0.1128999999999999,0.4683,3.71
12M,0.1,0.5,0.4,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.4646,0.1251,0.5146999999999999,3.71
6M,0.3,0.4,0.3,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0545,0.109,0.4523,3.69
12M,0.1,0.4,0.5,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.2102,0.1158,0.4765999999999999,3.69
12M,0.5,0.3,0.2,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.8513,0.1406,0.5693,3.69
6M,0.7,0.2,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.4964,0.1273,0.5194,3.69
12M,0.1,0.4,0.5,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.0476,0.1091,0.4512,3.68
12M,0.2,0.6,0.2,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,3.5918,0.1676,0.6642,3.67
12M,0.1,0.4,0.5,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.3109,0.1209,0.4919,3.66
6M,0.1,0.6,0.3,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1602,0.1146,0.4689,3.66
6M,0.1,0.4,0.5,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.3354,0.1221,0.4956,3.65
6M,0.1,0.5,0.4,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.3354,0.1221,0.4956,3.65
12M,0.3,0.6,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.727799999999999,0.2030999999999999,0.7918000000000001,3.65
12M,0.6,0.3,0.1,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,3.0349,0.1495,0.5939,3.64
12M,0.5,0.4,0.1,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,3.0349,0.1495,0.5939,3.64
12M,0.2,0.4,0.4,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1127,0.1128999999999999,0.4614999999999999,3.64
6M,0.1,0.7,0.2,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.8224,0.1414,0.5653,3.64
12M,0.2,0.4,0.4,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.331,0.1224,0.495,3.63
12M,0.2,0.4,0.4,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.6386000000000003,0.1355,0.5397,3.62
12M,0.1,0.4,0.5,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0339,0.1104,0.449,3.62
12M,0.2,0.4,0.4,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.7451,0.1396,0.5547,3.62
12M,0.2,0.5,0.3,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.7451,0.1396,0.5547,3.62
12M,0.2,0.5,0.3,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.6386000000000003,0.1355,0.5397,3.62
6M,0.1,0.7,0.2,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.8341000000000003,0.143,0.5669,3.61
12M,0.2,0.7,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.7187,0.2052,0.7909,3.61
12M,0.5,0.3,0.2,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.8454,0.1436,0.5685,3.61
12M,0.4,0.3,0.3,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.5908999999999995,0.1343,0.5329999999999999,3.6
12M,0.1,0.5,0.4,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.1023,0.1139,0.4598,3.6
12M,0.2,0.4,0.4,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.5411,0.1325,0.5257999999999999,3.59
6M,0.1,0.6,0.3,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.1431,0.1159,0.4661999999999999,3.59
12M,0.2,0.5,0.3,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.5411,0.1325,0.5257999999999999,3.59
12M,0.1,0.4,0.5,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.2816,0.1219,0.4875,3.59
12M,0.05,0.9,0.05,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.0984,0.217,0.8298000000000001,3.59
6M,0.6,0.3,0.1,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.7525,0.0986,0.4025999999999999,3.58
6M,0.6,0.3,0.1,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8418,0.1027,0.4177,3.58
12M,0.2,0.4,0.4,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.0896,0.114,0.4578,3.58
6M,0.1,0.3,0.6,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1193,0.1151,0.4625,3.58
12M,0.1,0.3,0.6,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.0996,0.1148,0.4594,3.57
6M,0.3,0.4,0.3,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.9956,0.11,0.4429,3.57
6M,0.1,0.7,0.2,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.8471,0.1454,0.5687,3.57
12M,0.3,0.6,0.1,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.066,0.2178999999999999,0.8265,3.56
12M,0.05,0.9,0.05,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.5781,0.2041,0.7759999999999999,3.56
12M,0.2,0.6,0.2,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,3.5746,0.1717,0.6622,3.56
12M,0.05,0.9,0.05,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,5.402699999999999,0.228,0.8598,3.55
12M,0.6,0.3,0.1,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.8548,0.1464,0.5697,3.55
12M,0.3,0.4,0.3,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.8498,0.1464,0.5690999999999999,3.55
12M,0.2,0.4,0.4,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9457,0.1084,0.4347999999999999,3.55
6M,0.1,0.7,0.2,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.7278,0.1414,0.5523,3.55
6M,0.1,0.3,0.6,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.1068,0.1159999999999999,0.4606,3.54
12M,0.3,0.5,0.2,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.4362,0.1686,0.6452,3.53
6M,0.2,0.5,0.3,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1394,0.118,0.4657,3.52
6M,0.1,0.6,0.3,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.1217,0.1172,0.4629,3.52
