Momentum Period,Value Weight,Momentum Weight,Low Volatility Weight,Top N,Max Weight,Data Hash,Total Return,Annualized Volatility,Annualized Return,Sharpe Ratio
12M,0.2,0.4,0.4,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.8789,0.1104,0.4238,3.39
6M,0.1,0.5,0.4,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8731,0.1103,0.4229,3.38
6M,0.4,0.4,0.2,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.2483,0.1278,0.4825,3.38
12M,0.4,0.3,0.3,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.3657,0.1335,0.5001,3.37
6M,0.1,0.4,0.5,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.5023,0.1393,0.5202,3.37
12M,0.4,0.5,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.0966000000000005,0.1999,0.7232999999999999,3.37
6M,0.2,0.4,0.4,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.0692,0.1199,0.4546,3.37
12M,0.4,0.3,0.3,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.7546000000000002,0.1051,0.4029999999999999,3.36
6M,0.3,0.4,0.3,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.0294,0.1186,0.4483,3.36
6M,0.1,0.5,0.4,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.6944,0.1482,0.5476,3.36
12M,0.1,0.3,0.6,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8219,0.1085999999999999,0.4144,3.36
12M,0.1,0.8,0.1,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.9806,0.1963,0.7101000000000001,3.36
6M,0.1,0.6,0.3,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.6944,0.1482,0.5476,3.36
6M,0.6,0.3,0.1,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.6847,0.1014,0.391,3.36
6M,0.1,0.6,0.3,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0291,0.1186999999999999,0.4482,3.35
12M,0.1,0.3,0.6,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.8019,0.1077999999999999,0.411,3.35
12M,0.7,0.2,0.1,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.447,0.1384999999999999,0.5122,3.34
6M,0.1,0.5,0.4,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.8662,0.1113,0.4217,3.34
12M,0.3,0.4,0.3,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.3919,0.1358,0.504,3.34
12M,0.7,0.2,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.4451,0.1381,0.5119,3.34
12M,0.3,0.5,0.2,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.9805,0.1607999999999999,0.5867,3.34
6M,0.4,0.4,0.2,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.2741,0.1311,0.4864,3.33
6M,0.1,0.3,0.6,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0263,0.1196,0.4478,3.33
6M,0.5,0.3,0.2,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.1913,0.1271,0.4736999999999999,3.33
12M,0.4,0.3,0.3,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.3969,0.1364,0.5047999999999999,3.33
12M,0.7,0.2,0.1,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.4551,0.139,0.5133,3.33
6M,0.5,0.3,0.2,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.23,0.1289,0.4797,3.33
12M,0.1,0.8,0.1,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.6101,0.2191,0.7794,3.33
12M,0.6,0.3,0.1,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.5942000000000003,0.1451,0.5334,3.33
6M,0.1,0.4,0.5,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.5491,0.1434,0.527,3.33
6M,0.1,0.4,0.5,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.5102,0.1419,0.5214,3.32
12M,0.2,0.4,0.4,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.9948,0.1182,0.4427,3.32
12M,0.7,0.2,0.1,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.4611,0.1402,0.5142,3.31
6M,0.1,0.5,0.4,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.8389,0.1112,0.4172,3.3
12M,0.2,0.3,0.5,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.8477,0.1117,0.4186999999999999,3.3
6M,0.2,0.4,0.4,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.0502,0.1216,0.4515999999999999,3.3
12M,0.2,0.3,0.5,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9551,0.1172,0.4363,3.3
12M,0.1,0.3,0.6,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8034,0.1097,0.4111999999999999,3.29
12M,0.3,0.5,0.2,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.6698,0.1896999999999999,0.6736,3.29
12M,0.3,0.4,0.3,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.2238,0.1303,0.4786999999999999,3.29
12M,0.5,0.4,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.7669,0.1937,0.6851999999999999,3.28
12M,0.1,0.3,0.6,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0178,0.1208,0.4464,3.28
6M,0.3,0.4,0.3,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.9829,0.1192,0.4407999999999999,3.28
12M,0.4,0.5,0.1,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.92,0.1992,0.7031000000000001,3.28
12M,0.4,0.3,0.3,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.7125,0.1052999999999999,0.3958,3.28
12M,0.3,0.5,0.2,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.9047,0.1609,0.5765,3.27
12M,0.2,0.3,0.5,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.2682,0.1334,0.4855,3.27
6M,0.1,0.4,0.5,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.4062,0.089,0.341,3.27
12M,0.3,0.4,0.3,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1427,0.1273,0.4661999999999999,3.27
6M,0.2,0.6,0.2,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.3305,0.1364,0.4949,3.26
12M,0.3,0.3,0.4,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9028,0.1163,0.4278,3.25
12M,0.3,0.3,0.4,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.3725,0.0875,0.3347,3.25
12M,0.2,0.4,0.4,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.8306,0.1125,0.4158,3.25
6M,0.5,0.3,0.2,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,2.1615,0.129,0.4690999999999999,3.25
6M,0.1,0.4,0.5,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.4456,0.092,0.3483,3.24
12M,0.5,0.4,0.1,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,4.0113,0.2046,0.7136,3.24
12M,0.2,0.3,0.5,20,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.8252,0.113,0.4149,3.23
12M,0.3,0.3,0.4,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.3047,0.0843,0.3218,3.23
12M,0.2,0.2,0.6,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9184,0.1177,0.4303,3.23
12M,0.3,0.2,0.5,10,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.9184,0.1177,0.4303,3.23
6M,0.2,0.5,0.3,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0059,0.1225,0.4445,3.22
12M,0.2,0.6,0.2,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.565,0.1898999999999999,0.6609999999999999,3.22
12M,0.1,0.3,0.6,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.7333,0.1084,0.3994,3.22
12M,0.1,0.3,0.6,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.7819999999999998,0.1114,0.4075999999999999,3.21
12M,0.2,0.3,0.5,25,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.3463,0.0871,0.3298,3.21
12M,0.3,0.3,0.4,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.4249,0.0917999999999999,0.3445,3.21
12M,0.2,0.2,0.6,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0561000000000003,0.1253,0.4525,3.21
6M,0.1,0.4,0.5,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.3507,0.0873,0.3306,3.21
12M,0.3,0.2,0.5,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.0561000000000003,0.1253,0.4525,3.21
12M,0.2,0.3,0.5,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.9091,0.1184,0.4288,3.2
12M,0.2,0.6,0.2,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.6216,0.1929,0.6678000000000001,3.2
6M,0.5,0.3,0.2,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.1859,0.1322,0.4729,3.2
6M,0.1,0.5,0.4,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,1.7924,0.1125,0.4094,3.19
12M,0.4,0.3,0.3,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.6677000000000002,0.1063,0.3879999999999999,3.18
12M,0.2,0.3,0.5,25,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.2809,0.0841,0.3173,3.18
12M,0.3,0.3,0.4,15,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.876,0.1173,0.4234,3.18
12M,0.2,0.3,0.5,25,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.4,0.0915,0.3398,3.17
12M,0.2,0.2,0.6,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.9016,0.1191,0.4276,3.17
12M,0.3,0.2,0.5,10,0.25,20090c5d2d0c4fa64aeebc359d4543ac,1.9016,0.1191,0.4276,3.17
12M,0.4,0.3,0.3,10,0.2,20090c5d2d0c4fa64aeebc359d4543ac,2.6365,0.1543999999999999,0.5394,3.17
6M,0.3,0.4,0.3,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.9149,0.1199,0.4297999999999999,3.17
12M,0.2,0.6,0.2,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.5062,0.191,0.6537999999999999,3.16
12M,0.4,0.4,0.2,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.6329,0.1957999999999999,0.6692,3.16
12M,0.3,0.3,0.4,20,0.3,20090c5d2d0c4fa64aeebc359d4543ac,1.7994,0.114,0.4106,3.16
12M,0.3,0.3,0.4,10,0.15,20090c5d2d0c4fa64aeebc359d4543ac,2.4445,0.146,0.5118,3.16
6M,0.1,0.6,0.3,15,0.3,20090c5d2d0c4fa64aeebc359d4543ac,2.007,0.1249,0.4447,3.16
6M,0.6,0.3,0.1,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,1.5992,0.1035,0.376,3.15
12M,0.3,0.5,0.2,25,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.5009,0.1913,0.6531999999999999,3.15
12M,0.2,0.7,0.1,20,0.2,20090c5d2d0c4fa64aeebc359d4543ac,5.1351,0.2487,0.8334,3.15
12M,0.1,0.7,0.2,20,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.4906,0.1919,0.6518999999999999,3.14
12M,0.3,0.5,0.2,15,0.15,20090c5d2d0c4fa64aeebc359d4543ac,3.423,0.1889,0.6435,3.14
12M,0.3,0.6,0.1,15,0.2,20090c5d2d0c4fa64aeebc359d4543ac,4.9228,0.2429,0.812,3.14
